County,Crashes
Bergen,27922.0
Essex,27340.05
Middlesex,26305.75
Hudson,19034.5
Union,18844.55
Monmouth,17486.05
Passaic,17281.55
Camden,14224.25
Ocean,14179.4
Morris,13739.2
Mercer,11699.15
Burlington,11230.8
Somerset,10105.85
Atlantic,8220.15
Gloucester,6648.15
Cumberland,4192.15
Hunterdon,3637.85
Sussex,3332.3
Warren,3082.5
Cape May,2770.05
Salem,1627.4
