Year,County,Crashes
2003,Ocean,14648
2004,Ocean,14884
2005,Ocean,14323
2006,Ocean,13785
2007,Ocean,14610
2008,Ocean,14133
2009,Ocean,14593
2010,Ocean,14885
2011,Ocean,13652
2012,Ocean,13557
2013,Ocean,14343
2014,Ocean,14043
2015,Ocean,14231
2016,Ocean,14638
2017,Ocean,14023
2018,Ocean,14848
2019,Ocean,14986
2020,Ocean,11970
2001,Passaic,18401
2002,Passaic,18621
2003,Passaic,18548
2004,Passaic,18311
2005,Passaic,18024
2006,Passaic,17213
2007,Passaic,16888
2008,Passaic,16400
2009,Passaic,16864
2010,Passaic,16787
2011,Passaic,16911
2012,Passaic,16811
2013,Passaic,16736
2014,Passaic,16261
2015,Passaic,17025
2016,Passaic,17780
2017,Passaic,18314
2018,Passaic,19110
2019,Passaic,17921
2020,Passaic,12705
2001,Salem,1693
2002,Salem,1643
2003,Salem,1873
2004,Salem,1970
2005,Salem,1683
2006,Salem,1544
2007,Salem,1614
2008,Salem,1593
2009,Salem,1608
2010,Salem,1659
2011,Salem,1528
2012,Salem,1403
2013,Salem,1376
2014,Salem,1587
2015,Salem,1636
2016,Salem,1657
2017,Salem,1619
2018,Salem,1738
2019,Salem,1723
2020,Salem,1401
2001,Somerset,9596
2002,Somerset,9969
2003,Somerset,10543
2004,Somerset,10268
2005,Somerset,10133
2006,Somerset,9837
2007,Somerset,10525
2008,Somerset,10110
2009,Somerset,10415
2010,Somerset,10203
2011,Somerset,10297
2012,Somerset,10192
2013,Somerset,10182
2014,Somerset,10112
2015,Somerset,10468
2016,Somerset,10582
2017,Somerset,10413
2018,Somerset,10748
2019,Somerset,10758
2020,Somerset,6766
2001,Sussex,3205
2002,Sussex,3396
2003,Sussex,3861
2004,Sussex,3739
2005,Sussex,3879
2006,Sussex,3496
2007,Sussex,3681
2008,Sussex,3497
2009,Sussex,3564
2010,Sussex,3437
2011,Sussex,3573
2012,Sussex,3135
2013,Sussex,3216
2014,Sussex,2971
2015,Sussex,3232
2016,Sussex,3135
2017,Sussex,3033
2018,Sussex,3153
2019,Sussex,3034
2020,Sussex,2409
2001,Union,19920
2002,Union,20666
2003,Union,20710
2004,Union,20288
2005,Union,19586
2006,Union,18478
2007,Union,18907
2008,Union,17858
2009,Union,17853
2010,Union,17839
2011,Union,17816
2012,Union,16929
2013,Union,17145
2014,Union,18002
2015,Union,19336
2016,Union,20105
2017,Union,20126
2018,Union,20377
2019,Union,21171
2020,Union,13779
2001,Warren,2785
2002,Warren,2923
2003,Warren,2804
2004,Warren,3187
2005,Warren,3317
2006,Warren,3079
2007,Warren,3252
2008,Warren,3319
2009,Warren,3262
2010,Warren,3030
2011,Warren,3047
2012,Warren,2797
2013,Warren,2965
2014,Warren,2943
2015,Warren,3154
2016,Warren,3316
2017,Warren,3084
2018,Warren,3460
2019,Warren,3317
2020,Warren,2609
